Severity,Start_Time,Start_Lat,Start_Lng,Distance(mi),Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,Temp_Binned,Hour,Weekday,Is_Weekend,Rush_Hour_SL,Time_Category_SL,Road_Type_SL,Weather_Category_SL
3,2016-02-08 05:46:00,39.865147,-84.058723,0.01,2016-02-08 05:58:00,0.3232125367286973,36.4,0.9021739130434784,0.9659543643607388,0.1228070175438595,Calm,0.2142857142857143,0.02,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,Very Cold,5,0,0,0,Night,Urban,Rain
2,2016-02-08 06:07:59,39.92805900000001,-82.831184,0.01,2016-02-08 05:51:00,0.3330068560235064,36.4,1.0,0.9648678015211878,0.1228070175438595,Calm,0.2142857142857143,0.0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day,Very Cold,6,0,0,1,Night,Urban,Rain
2,2016-02-08 06:49:27,39.063148,-84.032608,0.01,2016-02-08 06:56:00,0.3143976493633692,33.3,1.0,0.9655921767475552,0.1228070175438595,SW,0.0714285714285714,0.01,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Day,Day,Very Cold,6,0,0,1,Night,Urban,Other
3,2016-02-08 07:23:34,39.747753,-84.20558199999998,0.01,2016-02-08 07:38:00,0.3055827619980411,31.0,0.9565217391304348,0.9645056139080042,0.1102756892230575,SW,0.1055900621118012,0.01,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day,Very Cold,7,0,0,1,Morning,Urban,Cloudy
2,2016-02-08 07:39:07,39.627781,-84.188354,0.01,2016-02-08 07:53:00,0.3143976493633692,33.3,0.8804347826086956,0.9648678015211878,0.0726817042606515,SW,0.0714285714285714,0.01,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,Very Cold,7,0,0,1,Morning,Urban,Cloudy
3,2016-02-08 07:44:26,40.10059,-82.92519399999998,0.01,2016-02-08 07:51:00,0.3330068560235064,35.5,0.9673913043478262,0.9641434262948204,0.0852130325814535,SSW,0.0714285714285714,0.03,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Very Cold,7,0,0,1,Morning,Urban,Rain
2,2016-02-08 07:59:35,39.758274,-84.23050699999997,0.0,2016-02-08 07:56:00,0.2948090107737512,31.0,1.0,0.9652299891343714,0.0852130325814535,WSW,0.0714285714285714,0.01,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Very Cold,7,0,0,1,Morning,Urban,Other
3,2016-02-08 07:59:58,39.770382,-84.194901,0.01,2016-02-08 07:56:00,0.2948090107737512,31.0,1.0,0.9652299891343714,0.0852130325814535,WSW,0.0714285714285714,0.01,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Very Cold,7,0,0,1,Morning,Urban,Other
2,2016-02-08 08:00:40,39.778061,-84.172005,0.0,2016-02-08 07:58:00,0.2879529872673849,36.4,0.9891304347826086,0.9655921767475552,0.0601503759398495,SW,0.0,0.01,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Very Cold,8,0,0,1,Morning,Urban,Cloudy
3,2016-02-08 08:10:04,40.10059,-82.92519399999998,0.01,2016-02-08 08:28:00,0.3281096963761019,33.8,1.0,0.963781238681637,0.0350877192982455,SSW,0.1055900621118012,0.02,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Very Cold,8,0,0,1,Morning,Urban,Rain
3,2016-02-08 08:14:42,39.952812,-83.119293,0.01,2016-02-08 07:50:00,0.3104799216454457,30.7,0.923913043478261,0.9645056139080042,0.0601503759398495,WNW,0.1428571428571428,0.01,Rain,False,False,True,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Very Cold,8,0,0,1,Morning,Urban,Rain
3,2016-02-08 08:21:27,39.932709,-82.83091,0.01,2016-02-08 08:28:00,0.3281096963761019,33.8,1.0,0.963781238681637,0.0350877192982455,SSW,0.1055900621118012,0.02,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Very Cold,8,0,0,1,Morning,Urban,Rain
